article_id,date,ticker,article_title,price_t,price_t1,pct_change,label,predicted_label,confidence,explanation,manual_score
FNSPID_00084,2019-12-30,AEO,American Eagle Outfitters Option Alert: May 15 $14 Calls Sweep (9) near the Ask: 500 @ $1.697 vs 132 OI; Ref=$14.53,12.41,12.5,0.6849,neutral,up,0.4039,,
FNSPID_00085,2019-12-13,AEO,10 Biggest Price Target Changes For Friday,12.29,12.44,1.1757,up,up,0.3534,,
FNSPID_00086,2019-12-12,AEO,"UPDATE: RBC Maintains Sector Perform On American Eagle Outfitters, Lowers Target To $16 As Firm Notes 'comps and margin pressures are set to worsen in 4Q as tops execution issues step up markdowns on top of inventory carryover' (+9% exiting 3Q)'",12.62,12.29,-2.5607,down,up,0.4306,,
FNSPID_00087,2019-12-12,AEO,Shares of retail companies are trading higher amid multiple positive US-China trade developments.,12.62,12.29,-2.5607,down,up,0.4082,,
FNSPID_00088,2019-12-12,AEO,10 Biggest Price Target Changes For Thursday,12.62,12.29,-2.5607,down,up,0.3523,,
FNSPID_00089,2019-12-12,AEO,"RBC Capital Maintains Sector Perform on American Eagle Outfitters, Lowers Price Target to $16",12.62,12.29,-2.5607,down,up,0.3771,,
FNSPID_00090,2019-12-11,AEO,"PreMarket Prep Recap: More Pain In The Retail Sector, Stalemate Ahead Of Fed Announcement",12.01,12.62,5.0248,up,up,0.3805,,
FNSPID_00091,2019-12-11,AEO,From American Eagle Q3 Call: Sees $3M-$4M Impact From Tariffs In Q4,12.01,12.62,5.0248,up,up,0.4047,,
FNSPID_00092,2019-12-11,AEO,From American Eagle Q3 Earnings Conference Call: China Represents ~30% Of Co.'s Unit Volume Sourced Globally,12.01,12.62,5.0248,up,up,0.3798,,
FNSPID_00093,2019-12-11,AEO,American Eagle Outfitters shares are trading lower after the company issued Q4 EPS guidance below analyst estimates.,12.01,12.62,5.0248,up,up,0.3909,,
FNSPID_00094,2019-12-11,AEO,American Eagle Outfitter Sees Q4 EPS $0.34-$0.36 vs $0.46 Est.,12.01,12.62,5.0248,up,up,0.429,,
FNSPID_00095,2019-12-11,AEO,"American Eagle Outfitters Q3 EPS $0.48, Inline, Sales $1.066B Beat $1.06B Estimate, Comparable Sales Up 5%",12.01,12.62,5.0248,up,up,0.4332,,
FNSPID_00096,2019-12-11,AEO,32 Stocks Moving In Wednesday's Pre-Market Session,12.01,12.62,5.0248,up,up,0.4373,,
FNSPID_00097,2019-12-11,AEO,"10 Stocks To Watch For December 11, 2019",12.01,12.62,5.0248,up,up,0.3978,,
FNSPID_00098,2019-12-11,AEO,"Earnings Scheduled For December 11, 2019",12.01,12.62,5.0248,up,down,0.4421,,
FNSPID_00099,2019-12-10,AEO,A Preview Of American Eagle Outfitters Q3 Earnings,12.85,12.01,-6.5476,down,neutral,0.3603,,
FNSPID_00100,2019-11-25,AEO,"Benzinga's Top Upgrades, Downgrades For November 25, 2019",12.62,12.6,-0.1348,neutral,up,0.3914,,
FNSPID_00101,2019-11-25,AEO,Loop Capital Downgrades American Eagle Outfitters to Hold,12.62,12.6,-0.1348,neutral,up,0.3657,,
FNSPID_00102,2019-11-13,AEO,Barclays Starts Coverage Of US Specialty Retail,13.6,13.74,1.0,neutral,neutral,0.365,,
FNSPID_00103,2019-11-13,AEO,"Benzinga's Top Upgrades, Downgrades For November 13, 2019",13.6,13.74,1.0,neutral,up,0.3899,,
FNSPID_00104,2019-11-13,AEO,"Barclays Initiates Coverage On American Eagle Outfitters with Equal-Weight Rating, Announces $17 Price Target",13.6,13.74,1.0,neutral,up,0.3708,,
FNSPID_00105,2019-10-28,AEO,"Benzinga's Top Upgrades, Downgrades For October 28, 2019",13.81,13.75,-0.4308,neutral,up,0.3899,,
FNSPID_00106,2019-10-28,AEO,Citigroup Downgrades American Eagle Outfitters to Neutral,13.81,13.75,-0.4308,neutral,up,0.3583,,
FNSPID_00107,2019-10-11,AEO,Shares of several retail companies are trading higher in sympathy with the overall market after President Trump made positive remarks on US-China trade talks. Trump is scheduled to meet with Chinese Vice Premier Liu He at the White House today.,12.79,12.46,-2.5266,down,up,0.3899,,
FNSPID_00108,2019-10-09,AEO,"Zipping It Up: Levi's, Wrestling With Wholesale, Manages To Slightly Exceed Analyst Expectations",12.19,12.28,0.6833,neutral,up,0.3983,,
FNSPID_00109,2019-09-18,AEO,"UPDATE: DA Davidson On American Eagle Also Notes 'In a place where retail is challenged, AEO's growth opportunities continue to expand with their diverse initiatives; namely Aerie, AE Studio, and a potential personal care launch'",14.05,13.99,-0.4194,neutral,up,0.4348,,
