article_id,date,ticker,article_title,price_t,price_t1,pct_change,label
FNSPID_00000,2020-06-05,AEO,"Shares of several retail and apparel companies are trading higher following strong US jobs data and continued optimism amid the reopening of the economy. As the economy reopenings, consumer spending in the sector should increase.",11.14,11.21,0.6163,neutral
FNSPID_00001,2020-06-04,AEO,"Morgan Stanley Upgrades American Eagle Outfitters On Margin Upside, Liquidity",10.58,11.14,5.2717,up
FNSPID_00002,2020-06-04,AEO,"Benzinga's Top Upgrades, Downgrades For June 4, 2020",10.58,11.14,5.2717,up
FNSPID_00003,2020-06-04,AEO,"Cowen & Co. Maintains Market Perform on American Eagle Outfitters, Raises Price Target to $13",10.58,11.14,5.2717,up
FNSPID_00004,2020-06-04,AEO,"UBS Maintains Buy on American Eagle Outfitters, Raises Price Target to $15",10.58,11.14,5.2717,up
FNSPID_00005,2020-06-04,AEO,American Eagle Outfitters shares are trading higher after Morgan Stanley upgraded the stock from Underweight to Equal-Weight and announced a price target of $11 per share.,10.58,11.14,5.2717,up
FNSPID_00006,2020-06-04,AEO,"Deutsche Bank Maintains Buy on American Eagle Outfitters, Raises Price Target to $15",10.58,11.14,5.2717,up
FNSPID_00007,2020-06-04,AEO,"Morgan Stanley Upgrades American Eagle Outfitters to Equal-Weight, Announces $11 Price Target",10.58,11.14,5.2717,up
FNSPID_00008,2020-06-03,AEO,American Eagle Outfitters shares are trading higher despite the company reporting worse-than-expected Q1 EPS and sales results.,10.13,10.58,4.4915,up
FNSPID_00009,2020-06-03,AEO,Recap: American Eagle Outfitters Q1 Earnings,10.13,10.58,4.4915,up
FNSPID_00010,2020-06-01,AEO,"Shares of several consumer discretionary companies are trading higher as equities gain amid continued optimism towards a rebound in economic activity, which could lead to a potential rebound in spending.",8.49,8.83,4.0445,up
FNSPID_00011,2020-05-27,AEO,Shares of several apparel companies are trading higher as US stores reopen and as investors look for a rebound in consumer spending.,8.84,8.19,-7.3786,down
