article_id,article_title,predicted_label,actual_label,confidence,explanation,manual_score
FNSPID_03159,Another ETF Avenue For Video Game Access,neutral,up,0.3721,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Another ETF Avenue For Video Game Access"" reads as a neutral signal for the stock, which is consistent with little or no next-day move.",
FNSPID_11144,10 Worst Performing S&P 500 Stocks Of The Decade,down,neutral,0.3528,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""10 Worst Performing S&P 500 Stocks Of The Decade"" reads as a down signal for the stock, which is consistent with a downward next-day move.",
FNSPID_02654,Deutsche Bank Turns Bullish On Transports For 2020,up,neutral,0.369,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Deutsche Bank Turns Bullish On Transports For 2020"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_07230,"Benzinga Pro's Top 5 Stocks To Watch For Mon., Nov. 18, 2019: TMUS, NBY, SPLK, QD, HD",up,down,0.407,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Benzinga Pro's Top 5 Stocks To Watch For Mon., Nov. 18, 2019: TMUS, NBY, SPLK, QD, HD"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_02637,Can Precision Scheduled Railroading Save The Railroads' Third-Quarter Profits?,neutral,up,0.4311,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Can Precision Scheduled Railroading Save The Railroads' Third-Quarter Profits?"" reads as a neutral signal for the stock, which is consistent with little or no next-day move.",
FNSPID_05610,68 Biggest Movers From Yesterday,up,down,0.391,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""68 Biggest Movers From Yesterday"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_09787,Shares of several oil & gas companies are trading higher amid easing trade tensions. China's Ministry of Commerce said the country is willing to calmly resolve the trade dispute with the USA and is against any further escalation in tensions.,up,neutral,0.4041,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Shares of several oil & gas companies are trading higher amid easing trade tensions. China's Ministry of Commerce said the country is willing to calmly resolve the trade dispute with the USA and is against any further escalation in tensions."" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_08152,Here's Every Major Retailer's Black Friday Weekend Shopping Hours,neutral,neutral,0.4413,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Here's Every Major Retailer's Black Friday Weekend Shopping Hours"" reads as a neutral signal for the stock, which is consistent with little or no next-day move.",
FNSPID_04737,A Preview Of FedEx's Earnings,neutral,down,0.3644,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""A Preview Of FedEx's Earnings"" reads as a neutral signal for the stock, which is consistent with little or no next-day move.",
FNSPID_02169,"Cigna shares trading lower, leading stocks in the healthcare provider space down. Today is the fifth day in a row the stock price failed to break above a resistance area around $165. Not seeing company- or industry-specific news to justify the move lower.",up,neutral,0.3703,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Cigna shares trading lower, leading stocks in the healthcare provider space down. Today is the fifth day in a row the stock price failed to break above a resistance area around $165. Not seeing company- or industry-specific news to justify the move lower."" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_14701,Shares of several tech companies are trading higher with the broader stock market after the Chinese Minister of Commerce said the leaders of the US and China are set to meet in Washington D.C in October.,up,neutral,0.3846,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Shares of several tech companies are trading higher with the broader stock market after the Chinese Minister of Commerce said the leaders of the US and China are set to meet in Washington D.C in October."" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_10115,Shares of several oil and gas companies are trading higher following a larger-than-expected draw in US crude inventories.,up,down,0.4092,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Shares of several oil and gas companies are trading higher following a larger-than-expected draw in US crude inventories."" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_14147,5 Stocks Moving In Tuesday's After-Hours Session,up,down,0.4315,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""5 Stocks Moving In Tuesday's After-Hours Session"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_07695,"BMO Capital Reiterates Market Perform on Kroger, Raises Price Target to $26",up,neutral,0.382,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""BMO Capital Reiterates Market Perform on Kroger, Raises Price Target to $26"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_02138,"UBS Maintains Buy on Cigna, Raises Price Target to $222",up,neutral,0.3794,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""UBS Maintains Buy on Cigna, Raises Price Target to $222"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_08678,"UPDATE: Morgan Stanley On Eli Lilly Notes 'While Novo appears set to win market share in diabetes, we still expect strong and durable Lilly franchise growth, including benefits from initial high-dose Trulicity sales in 2021 and tirzepatide in 2022'",up,up,0.4368,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""UPDATE: Morgan Stanley On Eli Lilly Notes 'While Novo appears set to win market share in diabetes, we still expect strong and durable Lilly franchise growth, including benefits from initial high-dose Trulicity sales in 2021 and tirzepatide in 2022'"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_07649,Kroger Option Alert: Apr 17 $29 Calls Sweep (33) near the Ask: 713 @ $1.217 vs 188 OI; Earnings 12/5 Before Open [est] Ref=$26.92,up,down,0.4243,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Kroger Option Alert: Apr 17 $29 Calls Sweep (33) near the Ask: 713 @ $1.217 vs 188 OI; Earnings 12/5 Before Open [est] Ref=$26.92"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_03152,"NCAA Will Let College Athletes Profit Off Their Name, Likeness",neutral,up,0.4607,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""NCAA Will Let College Athletes Profit Off Their Name, Likeness"" reads as a neutral signal for the stock, which is consistent with little or no next-day move.",
