article_id,date,ticker,article_title
FNSPID_00000,2020-06-05,AEO,"Shares of several retail and apparel companies are trading higher following strong US jobs data and continued optimism amid the reopening of the economy. As the economy reopenings, consumer spending in the sector should increase."
FNSPID_00001,2020-06-04,AEO,"Morgan Stanley Upgrades American Eagle Outfitters On Margin Upside, Liquidity"
FNSPID_00002,2020-06-04,AEO,"Benzinga's Top Upgrades, Downgrades For June 4, 2020"
FNSPID_00003,2020-06-04,AEO,"Cowen & Co. Maintains Market Perform on American Eagle Outfitters, Raises Price Target to $13"
FNSPID_00004,2020-06-04,AEO,"UBS Maintains Buy on American Eagle Outfitters, Raises Price Target to $15"
FNSPID_00005,2020-06-04,AEO,American Eagle Outfitters shares are trading higher after Morgan Stanley upgraded the stock from Underweight to Equal-Weight and announced a price target of $11 per share.
FNSPID_00006,2020-06-04,AEO,"Deutsche Bank Maintains Buy on American Eagle Outfitters, Raises Price Target to $15"
FNSPID_00007,2020-06-04,AEO,"Morgan Stanley Upgrades American Eagle Outfitters to Equal-Weight, Announces $11 Price Target"
FNSPID_00008,2020-06-03,AEO,American Eagle Outfitters shares are trading higher despite the company reporting worse-than-expected Q1 EPS and sales results.
FNSPID_00009,2020-06-03,AEO,Recap: American Eagle Outfitters Q1 Earnings
FNSPID_00010,2020-06-01,AEO,"Shares of several consumer discretionary companies are trading higher as equities gain amid continued optimism towards a rebound in economic activity, which could lead to a potential rebound in spending."
FNSPID_00011,2020-05-27,AEO,Shares of several apparel companies are trading higher as US stores reopen and as investors look for a rebound in consumer spending.
FNSPID_00012,2020-05-22,AEO,"High Times, Humboldt Heritage Cancel M&A Plans"
FNSPID_00013,2020-05-21,AEO,Shares of several retail and consumer discretionary companies are trading higher following earnings reports from several names in the sector as well as store reopenings in the US and China.
FNSPID_00014,2020-05-11,AEO,American Eagle Outfitters Option Alert: May 22 $7.5 Calls Sweep (4) near the Ask: 1000 @ $0.688 vs 19 OI; Earnings 6/3 Before Open [est] Ref=$7.875
FNSPID_00015,2020-05-06,AEO,American Eagle Analyst Upgrades Retailer After It Shows 'Huge Signal Of Strength'
FNSPID_00016,2020-05-06,AEO,American Eagle Outfitters shares are trading higher after Raymond James analysts upgraded the company's stock from Market to Outperform.
FNSPID_00017,2020-05-06,AEO,"Raymond James Upgrades American Eagle Outfitters to Outperform, Announces $10 Price Target"
FNSPID_00018,2020-04-30,AEO,Shares of several apparel and footwear companies are trading lower as markets dip following US jobless claims and personal spending data. Lower personal spending could be a negative catalyst for consumer goods such as apparel.
FNSPID_00019,2020-04-30,AEO,"UBS Maintains Buy on American Eagle Outfitters, Lowers Price Target to $10"
FNSPID_00020,2020-04-27,AEO,"Shares of several apparel companies are trading higher as equities gain strength on news that some U.S. states will reopen their economies in phases, increasing economic activity and optimism around the coronavirus pandemic."
FNSPID_00021,2020-04-27,AEO,American Eagle Outfitters Option Alert: May 15 $7 Calls Sweep (12) near the Ask: 328 @ $0.6 vs 5925 OI; Earnings 6/3 Before Open [est] Ref=$7.04
FNSPID_00022,2020-04-23,AEO,Stocks That Hit 52-Week Lows On Thursday
FNSPID_00023,2020-04-23,AEO,70 Biggest Movers From Yesterday
FNSPID_00024,2020-04-22,AEO,Mid-Afternoon Market Update: Dow Climbs 450 Points; American Eagle Outfitters Shares Slide
FNSPID_00025,2020-04-22,AEO,46 Stocks Moving In Wednesday's Mid-Day Session
FNSPID_00026,2020-04-22,AEO,Why American Eagle Outfitters' Stock Is Trading Lower Today
FNSPID_00027,2020-04-22,AEO,Mid-Day Market Update: Crude Oil Jumps 25%; VBI Vaccines Shares Plunge
FNSPID_00028,2020-04-22,AEO,American Eagle Outfitters shares are trading lower after the company suspended its buyback program and deferred payment of its Q1 dividend.
FNSPID_00029,2020-04-22,AEO,American Eagle Outfitters Inc Suspension Of Share Repurchase Program And Deferred Payment Of Q1 Cash Dividend
FNSPID_00030,2020-04-22,AEO,American Eagle Outfitters Says Comp Period Sales Feb 2-Early March 2020 Was Consistent With 4Q '19 Comp Period Sales Performance
FNSPID_00031,2020-04-21,AEO,"Morgan Stanley Maintains Underweight on American Eagle Outfitters, Lowers Price Target to $9"
FNSPID_00032,2020-04-20,AEO,"American Eagle Outfitters Inc. Names Mike Mathias EVP, Chief Financial Officer"
FNSPID_00033,2020-04-17,AEO,Shares of several apparel retail companies are trading higher amid optimistic coronavirus outlook following positive drug data from Gilead. This has raised hopes of a sooner return to spending and economic activity.
FNSPID_00034,2020-04-15,AEO,"Benzinga's Top Upgrades, Downgrades For April 15, 2020"
FNSPID_00035,2020-04-15,AEO,10 Biggest Price Target Changes For Wednesday
FNSPID_00036,2020-04-15,AEO,"Loop Capital Downgrades American Eagle Outfitters to Sell, Lowers Price Target to $7"
FNSPID_00037,2020-04-14,AEO,"Shares of several retail apparel and footwear companies are trading higher as investor hopes of coronavirus mitigation have led to anticipation of a return to economic activity and consumer spending, which could benefit the sector."
FNSPID_00038,2020-04-13,AEO,Shares of several retail and apparel companies are trading lower amid continued uncertainty in demand due to the coronavirus pandemic which has decreased consumer spending.
FNSPID_00039,2020-04-09,AEO,"Shares of several retail and apparel companies are trading higher as markets gain following a Federal Reserve loan program. Additionally, speculation of some coronavirus hotspots peaking could raise hopes of a sooner return to consumer spending."
FNSPID_00040,2020-04-08,AEO,"Shares of several apparel companies are trading higher amid positive market sentiment on speculation that coronavirus cases in several hotspots could soon level off, which could mean a sooner rebound in consumer demand and supply chain stability."
FNSPID_00041,2020-04-02,AEO,"American Eagle Outfitters Suspends Dividend And Buyback, Furloughs Several Associates Beginning Apr. 5, Makes Cuts To Inventory Receipts And Reduces Capex Across Stores"
FNSPID_00042,2020-04-01,AEO,"Benzinga's Top Upgrades, Downgrades For April 1, 2020"
FNSPID_00043,2020-04-01,AEO,Shares of several retail companies are trading lower amid market weakness as macro concerns continue to grow as a result of the coronavirus pandemic.
FNSPID_00044,2020-04-01,AEO,Raymond James Initiates Coverage On American Eagle Outfitters with Market Perform Rating
FNSPID_00045,2020-03-26,AEO,"B. Riley FBR Maintains Buy on American Eagle Outfitters, Lowers Price Target to $15"
FNSPID_00046,2020-03-24,AEO,"Shares of several retail companies are trading higher amid market strength on hopes of a US economic stimulus package agreement. The sector has been hurt recently by global economic weakness, supply chain disruption and retail store closings."
FNSPID_00047,2020-03-23,AEO,Shares of several retail companies are trading lower amid market weakness. The global coronavirus spread has led to several store closings as well as supply chain disruption in many sectors.
FNSPID_00048,2020-03-17,AEO,American Eagle Withdraws Q1 Guidance; Co. Says Ended FY19 With $417M In Cash And Short-term Investments And No Debt And Has Recently Drawn $300M On Revolving Credit Facility
FNSPID_00049,2020-03-17,AEO,American Eagle To Close US And Canada Stores Until At Least Mar. 27
FNSPID_00050,2020-03-13,AEO,Shares of several consumer defensive and consumer cyclical companies are trading higher as markets rebound after Thursday's crash. Many US equities have been volatile recently as the coronavirus has generated global economic uncertainty.
FNSPID_00051,2020-03-12,AEO,Stocks That Hit 52-Week Lows On Thursday
FNSPID_00052,2020-03-11,AEO,"Wedbush's Shopping List: Abercrombie, American Eagle And Burlington Stores"
FNSPID_00053,2020-03-11,AEO,Stocks That Hit 52-Week Lows On Wednesday
FNSPID_00054,2020-03-11,AEO,"Benzinga's Top Upgrades, Downgrades For March 11, 2020"
FNSPID_00055,2020-03-11,AEO,"Wedbush Upgrades American Eagle Outfitters to Outperform, Announces $14 Price Target"
FNSPID_00056,2020-03-10,AEO,"B. Riley FBR Maintains Buy on American Eagle Outfitters, Lowers Price Target to $20"
FNSPID_00057,2020-03-06,AEO,Stocks That Hit 52-Week Lows On Friday
FNSPID_00058,2020-03-05,AEO,"CFRA Maintains Buy on American Eagle Outfitters, Lowers Price Target to $16"
FNSPID_00059,2020-03-05,AEO,"JP Morgan Maintains Neutral on American Eagle Outfitters, Lowers Price Target to $14"
FNSPID_00060,2020-03-05,AEO,"Deutsche Bank Reiterates Buy on American Eagle Outfitters, Lowers Price Target to $17"
FNSPID_00061,2020-03-05,AEO,31 Stocks Moving in Thursday's Pre-Market Session
FNSPID_00062,2020-03-05,AEO,A Peek Into The Markets: US Stock Futures Signal Lower Start On Wall Street
FNSPID_00063,2020-03-05,AEO,"10 Stocks To Watch For March 5, 2020"
FNSPID_00064,2020-03-04,AEO,5 Stocks Moving In Wednesday's After-Hours Session
FNSPID_00065,2020-03-04,AEO,"American Eagle Outfitters Inc Exec Says Soft Demand In Certain Tops Categories Resulted In Higher-Than-Planned Promotions In Q4; Says Has A Robust Store Opening Plan For 2020, With A Heavy Emphasis On Stand-Alone Locations"
FNSPID_00066,2020-03-04,AEO,American Eagle Outfitters Trades Higher On Q4 Earnings Beat
FNSPID_00067,2020-03-04,AEO,American Eagle Outfitters shares are trading higher after the company reported better-than-expected Q4 EPS and sales results.
FNSPID_00068,2020-03-04,AEO,American Eagle Sees Q1 EPS $0.20-$0.22 vs $0.21 Estimate
FNSPID_00069,2020-03-04,AEO,"American Eagle Outfitters Q4 Adj. EPS $0.37 Beats $0.36 Estimate, Sales $1.31B Beat $1.27B Estimate"
FNSPID_00070,2020-03-04,AEO,Afternoon Market Stats In 5 Minutes
FNSPID_00071,2020-03-04,AEO,"10 Stocks To Watch For March 4, 2020"
FNSPID_00072,2020-03-04,AEO,"Earnings Scheduled For March 4, 2020"
FNSPID_00073,2020-03-03,AEO,American Eagle Outfitters Q4 Earnings Preview
FNSPID_00074,2020-03-03,AEO,Retail Snapshot – Can This Week Make a Difference?
FNSPID_00075,2020-02-27,AEO,Stocks That Hit 52-Week Lows On Thursday
FNSPID_00076,2020-02-25,AEO,Stocks That Hit 52-Week Lows On Tuesday
FNSPID_00077,2020-02-20,AEO,Amerigan Eagle Outfitters shares are trading higher. Not seeing any news to justify the price action. NOTE: The stock could potentially be rebounding from lows following a downgrade from Cowen & Co on Feb. 18.
FNSPID_00078,2020-02-18,AEO,"Benzinga's Top Upgrades, Downgrades For February 18, 2020"
FNSPID_00079,2020-02-18,AEO,"Cowen & Co. Downgrades American Eagle Outfitters to Market Perform, Lowers Price Target to $14"
FNSPID_00080,2020-02-04,AEO,"BMO Capital Initiates Coverage On American Eagle Outfitters with Market Perform Rating, Announces $15 Price Target"
FNSPID_00081,2020-02-03,AEO,"Telsey Advisory Group Downgrades American Eagle Outfitters to Market Perform, Lowers Price Target to $16"
FNSPID_00082,2020-02-03,AEO,11 Consumer Cyclical Stocks Moving In Monday's Pre-Market Session
FNSPID_00083,2020-01-13,AEO,American Eagle Outfitters Reaffirms Q4 EPS Guidance of $0.34-0.36 vs $0.36 Est
FNSPID_00084,2019-12-30,AEO,American Eagle Outfitters Option Alert: May 15 $14 Calls Sweep (9) near the Ask: 500 @ $1.697 vs 132 OI; Ref=$14.53
FNSPID_00085,2019-12-13,AEO,10 Biggest Price Target Changes For Friday
FNSPID_00086,2019-12-12,AEO,"UPDATE: RBC Maintains Sector Perform On American Eagle Outfitters, Lowers Target To $16 As Firm Notes 'comps and margin pressures are set to worsen in 4Q as tops execution issues step up markdowns on top of inventory carryover' (+9% exiting 3Q)'"
FNSPID_00087,2019-12-12,AEO,Shares of retail companies are trading higher amid multiple positive US-China trade developments.
FNSPID_00088,2019-12-12,AEO,10 Biggest Price Target Changes For Thursday
FNSPID_00089,2019-12-12,AEO,"RBC Capital Maintains Sector Perform on American Eagle Outfitters, Lowers Price Target to $16"
FNSPID_00090,2019-12-11,AEO,"PreMarket Prep Recap: More Pain In The Retail Sector, Stalemate Ahead Of Fed Announcement"
FNSPID_00091,2019-12-11,AEO,From American Eagle Q3 Call: Sees $3M-$4M Impact From Tariffs In Q4
FNSPID_00092,2019-12-11,AEO,From American Eagle Q3 Earnings Conference Call: China Represents ~30% Of Co.'s Unit Volume Sourced Globally
FNSPID_00093,2019-12-11,AEO,American Eagle Outfitters shares are trading lower after the company issued Q4 EPS guidance below analyst estimates.
FNSPID_00094,2019-12-11,AEO,American Eagle Outfitter Sees Q4 EPS $0.34-$0.36 vs $0.46 Est.
FNSPID_00095,2019-12-11,AEO,"American Eagle Outfitters Q3 EPS $0.48, Inline, Sales $1.066B Beat $1.06B Estimate, Comparable Sales Up 5%"
FNSPID_00096,2019-12-11,AEO,32 Stocks Moving In Wednesday's Pre-Market Session
FNSPID_00097,2019-12-11,AEO,"10 Stocks To Watch For December 11, 2019"
FNSPID_00098,2019-12-11,AEO,"Earnings Scheduled For December 11, 2019"
FNSPID_00099,2019-12-10,AEO,A Preview Of American Eagle Outfitters Q3 Earnings
FNSPID_00100,2019-11-25,AEO,"Benzinga's Top Upgrades, Downgrades For November 25, 2019"
